adjudication_id,run_id,mapping_review_id,signal_id,ticker,role_phrase_raw,signal_type,signal_value,implied_share_pct,normalized_role_bucket,suggested_repo_label,suggested_repo_title,suggested_repo_score,mapping_confidence,confidence_rationale,review_status,approved_repo_label,approved_share_pct,reviewer,reviewed_at,review_notes,citation_id,quote,created_at
ADJ-pilot25_2026Q1_v1-001,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-001,RSC-pilot25_2026Q1_v1-ADI-1,ADI,engineering,count,13000,53.06,engineering,computer-hardware-engineers,Computer hardware engineers,8,narrow,Phrase and suggested label semantically aligned.,approved,computer-hardware-engineers,53.06,codex-auto-v2,2026-03-16T17:57:27.116Z,Auto-approved: explicit role count within total headcount disclosure.,CITT-pilot25_2026Q1_v1-ADI-002,"As of November 1, 2025, we had approximately 24,500 employees, of whom approximately 13,000 are in engineering roles.",2026-03-16T17:40:58.117Z
ADJ-pilot25_2026Q1_v1-002,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-002,RSC-pilot25_2026Q1_v1-AKAM-2,AKAM,engineering and research and development,pct,37,37.00,engineering,,,,narrow,Insufficient signal for reliable mapping.,approved,software-developers,37.00,codex-auto-v2,2026-03-16T17:57:27.116Z,Auto-approved: grouped workforce percentage for engineering/R&D.,CITT-pilot25_2026Q1_v1-AKAM-001,"Our employees are grouped across the following roles, with the approximate percentage of the overall population noted: engineering and research and development (37%), services and support (26%), sales and marketing (17%) and administrative functions (20%).",2026-03-16T17:40:58.117Z
ADJ-pilot25_2026Q1_v1-003,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-003,RSC-pilot25_2026Q1_v1-AKAM-3,AKAM,services and support,pct,26,26.00,unknown,,,,narrow,Insufficient signal for reliable mapping.,approved,computer-support-specialists,26.00,codex-auto-v2,2026-03-16T17:57:27.116Z,Auto-approved: grouped workforce percentage for services/support.,CITT-pilot25_2026Q1_v1-AKAM-001,"Our employees are grouped across the following roles, with the approximate percentage of the overall population noted: engineering and research and development (37%), services and support (26%), sales and marketing (17%) and administrative functions (20%).",2026-03-16T17:40:58.117Z
ADJ-pilot25_2026Q1_v1-004,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-004,RSC-pilot25_2026Q1_v1-AKAM-4,AKAM,sales and marketing,pct,17,17.00,sales,,,,narrow,Insufficient signal for reliable mapping.,approved,sales-managers,17.00,codex-auto-v2,2026-03-16T17:57:27.116Z,Auto-approved: grouped workforce percentage for sales/marketing.,CITT-pilot25_2026Q1_v1-AKAM-001,"Our employees are grouped across the following roles, with the approximate percentage of the overall population noted: engineering and research and development (37%), services and support (26%), sales and marketing (17%) and administrative functions (20%).",2026-03-16T17:40:58.117Z
ADJ-pilot25_2026Q1_v1-005,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-005,RSC-pilot25_2026Q1_v1-AKAM-5,AKAM,and administrative functions,pct,20,20.00,unknown,,,,unknown,Insufficient signal for reliable mapping.,pending,,,codex-auto-v2,2026-03-16T17:57:27.116Z,Left pending by strict auto-adjudication policy.,CITT-pilot25_2026Q1_v1-AKAM-001,"Our employees are grouped across the following roles, with the approximate percentage of the overall population noted: engineering and research and development (37%), services and support (26%), sales and marketing (17%) and administrative functions (20%).",2026-03-16T17:40:58.117Z
ADJ-pilot25_2026Q1_v1-DR-BRK.B-001,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-DR-BRK.B-1,RSC-pilot25_2026Q1_v1-DR-BRK.B-1,BRK.B,"Insurance segment employees (GEICO 28,247; General Re 2,226; BH Reinsurance Group 901; other primary ~10,119) — ~41,493 total",count,41493,10.60,"Insurance segment employees (GEICO 28,247; General Re 2,226; BH Reinsurance Group 901; other primary ~10,119) — ~41,493 total",financial-analysts,,,narrow,"Insurance segment workforce (GEICO, General Re, BH Reinsurance, BH Primary) is predominantly underwriters, claims adjusters, actuaries, and insurance agents — maps to financial-analysts.",approved,financial-analysts,10.60,deep-research-agent,2026-04-08T23:12:53.748Z,"Deep research injection. Insurance segment workforce (GEICO, General Re, BH Reinsurance, BH Primary) is predominantly underwriters, claims adjusters, actuaries, and insurance agents — maps to financial-analysts.",CIT-pilot25_2026Q1_v1-DR-BRK.B-002,"GEICO: approximately 28,247 employees at year-end 2024. Insurance segment total approximately 41,493 per AFS 2024 subsidiary listing.",2026-04-08T23:12:53.748Z
ADJ-pilot25_2026Q1_v1-DR-BRK.B-002,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-DR-BRK.B-2,RSC-pilot25_2026Q1_v1-DR-BRK.B-2,BRK.B,"Railroad segment — BNSF approximately 36,620 employees, ~87% union members",count,36620,9.30,"Railroad segment — BNSF approximately 36,620 employees, ~87% union members",transportation-storage-and-distribution-managers,,,narrow,"BNSF railroad workforce is overwhelmingly transportation operations (engineers, conductors, maintenance-of-way, yard workers). transportation-storage-and-distribution-managers is the closest karpathy label.",approved,transportation-storage-and-distribution-managers,9.30,deep-research-agent,2026-04-08T23:12:53.748Z,"Deep research injection. BNSF railroad workforce is overwhelmingly transportation operations (engineers, conductors, maintenance-of-way, yard workers). transportation-storage-and-distribution-managers is the closest karpathy label.",CIT-pilot25_2026Q1_v1-DR-BRK.B-003,"As of December 31, 2024, BNSF Railway had approximately 36,500 employees of whom approximately 32,000 are members of a labor union.",2026-04-08T23:12:53.748Z
ADJ-pilot25_2026Q1_v1-DR-BRK.B-003,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-DR-BRK.B-3,RSC-pilot25_2026Q1_v1-DR-BRK.B-3,BRK.B,"Utilities and Energy segment — Berkshire Hathaway Energy ~23,839 employees",count,23839,6.10,"Utilities and Energy segment — Berkshire Hathaway Energy ~23,839 employees",industrial-engineers,,,medium,"BHE operates electric utilities, natural gas pipelines, renewables. Workforce is plant operators, engineers, line workers, field technicians. industrial-engineers is the closest available label but does not fully capture line/plant workers.",approved,industrial-engineers,6.10,deep-research-agent,2026-04-08T23:12:53.748Z,"Deep research injection. BHE operates electric utilities, natural gas pipelines, renewables. Workforce is plant operators, engineers, line workers, field technicians. industrial-engineers is the closest available label but does not fully capture line/plant workers.",CIT-pilot25_2026Q1_v1-DR-BRK.B-004,"Berkshire Hathaway Energy approximately 23,839 employees (2024, per AFS 2024 subsidiary listing). Combined Railroad/Utilities/Energy sector: approximately 60,459 employees.",2026-04-08T23:12:53.748Z
ADJ-pilot25_2026Q1_v1-DR-BRK.B-004,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-DR-BRK.B-4,RSC-pilot25_2026Q1_v1-DR-BRK.B-4,BRK.B,"Manufacturing segment — approximately 180,112 employees (Precision Castparts 24,594; Clayton Homes 20,645; and others)",count,180112,45.90,"Manufacturing segment — approximately 180,112 employees (Precision Castparts 24,594; Clayton Homes 20,645; and others)",industrial-engineers,,,medium,"Manufacturing segment (~46% of total workforce) includes Precision Castparts, Clayton Homes, Marmon Group, Forest River, and many others. Workers are primarily production/manufacturing workers and industrial engineers. industrial-engineers is closest label but manufacturing production workers are a large fraction.",approved,industrial-engineers,45.90,deep-research-agent,2026-04-08T23:12:53.748Z,"Deep research injection. Manufacturing segment (~46% of total workforce) includes Precision Castparts, Clayton Homes, Marmon Group, Forest River, and many others. Workers are primarily production/manufacturing workers and industrial engineers. industrial-engineers is closest label but manufacturing production workers are a large fraction.",CIT-pilot25_2026Q1_v1-DR-BRK.B-005,"Manufacturing sector: approximately 180,112 employees per AFS 2024 subsidiary listing. Includes Precision Castparts (24,594), Clayton Homes (20,645), and numerous other manufacturing subsidiaries.",2026-04-08T23:12:53.748Z
ADJ-pilot25_2026Q1_v1-DR-BRK.B-005,pilot25_2026Q1_v1,RMR-pilot25_2026Q1_v1-DR-BRK.B-5,RSC-pilot25_2026Q1_v1-DR-BRK.B-5,BRK.B,"Service and Retailing segment — approximately 110,305 employees (McLane ~20,000+; Pilot Flying J ~24,000+; other retail/service)",count,110305,28.10,"Service and Retailing segment — approximately 110,305 employees (McLane ~20,000+; Pilot Flying J ~24,000+; other retail/service)",sales-managers,,,medium,"Service and Retailing segment includes McLane (food/grocery distribution), Pilot Flying J travel centers, NetJets, Berkshire Hathaway HomeServices, and retail/service businesses. Workforce is predominantly retail associates, distribution/warehouse workers, and service personnel. sales-managers is closest available label.",approved,sales-managers,28.10,deep-research-agent,2026-04-08T23:12:53.748Z,"Deep research injection. Service and Retailing segment includes McLane (food/grocery distribution), Pilot Flying J travel centers, NetJets, Berkshire Hathaway HomeServices, and retail/service businesses. Workforce is predominantly retail associates, distribution/warehouse workers, and service personnel. sales-managers is closest available label.",CIT-pilot25_2026Q1_v1-DR-BRK.B-006,"Service & Retailing sector: approximately 110,305 employees per AFS 2024 subsidiary listing. McLane: more than 20,000 employees; Pilot Flying J: more than 24,000 Team Members.",2026-04-08T23:12:53.748Z
