run_id,signal_id,ticker,role_phrase,role_keyword,suggestion_rank,suggested_repo_label,suggested_repo_title,suggested_repo_score,match_score,review_status,reviewer,reviewed_at,review_notes
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-ADI-1,ADI,engineering,engineering,1,computer-hardware-engineers,Computer hardware engineers,8,5,pending,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-ADI-1,ADI,engineering,engineering,2,electrical-and-electronics-engineers,Electrical and electronics engineers,7,5,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-ADI-1,ADI,engineering,engineering,3,materials-engineers,Materials engineers,7,5,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-ADI-1,ADI,engineering,engineering,4,software-developers,"Software developers, quality assurance analysts, and testers",9,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-ADI-1,ADI,engineering,engineering,5,aerospace-engineers,Aerospace engineers,7,3,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-2,AKAM,engineering and research and development,engineering,1,software-developers,"Software developers, quality assurance analysts, and testers",9,8,pending,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-2,AKAM,engineering and research and development,engineering,2,computer-and-information-research-scientists,Computer and information research scientists,9,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-2,AKAM,engineering and research and development,engineering,3,biomedical-engineers,Bioengineers and biomedical engineers,7,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-2,AKAM,engineering and research and development,engineering,4,electrical-and-electronics-engineers,Electrical and electronics engineers,7,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-2,AKAM,engineering and research and development,engineering,5,marine-engineers-and-naval-architects,Marine engineers and naval architects,7,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-3,AKAM,services and support,operations,1,computer-support-specialists,Computer support specialists,8,8,pending,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-3,AKAM,services and support,operations,2,customer-service-representatives,Customer service representatives,9,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-3,AKAM,services and support,operations,3,software-developers,"Software developers, quality assurance analysts, and testers",9,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-3,AKAM,services and support,operations,4,securities-commodities-and-financial-services-sales-agents,"Securities, commodities, and financial services sales agents",8,2,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-3,AKAM,services and support,operations,5,medical-and-health-services-managers,Medical and health services managers,6,2,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-4,AKAM,sales and marketing,sales,1,advertising-promotions-and-marketing-managers,"Advertising, promotions, and marketing managers",8,6,pending,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-4,AKAM,sales and marketing,sales,2,sales-managers,Sales managers,7,5,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-4,AKAM,sales and marketing,sales,3,software-developers,"Software developers, quality assurance analysts, and testers",9,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-4,AKAM,sales and marketing,sales,4,market-research-analysts,Market research analysts,9,2,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-4,AKAM,sales and marketing,sales,5,computer-support-specialists,Computer support specialists,8,2,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-5,AKAM,and administrative functions,operations,1,administrative-services-managers,Administrative services and facilities managers,5,5,pending,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-5,AKAM,and administrative functions,operations,2,software-developers,"Software developers, quality assurance analysts, and testers",9,4,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-5,AKAM,and administrative functions,operations,3,management-analysts,Management analysts,7,3,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-5,AKAM,and administrative functions,operations,4,computer-support-specialists,Computer support specialists,8,2,optional,,,
pilot25_2026Q1_v1,RSC-pilot25_2026Q1_v1-AKAM-5,AKAM,and administrative functions,operations,5,secretaries-and-administrative-assistants,Secretaries and administrative assistants,8,2,optional,,,
